1	17
2	10
3	10
4	12
5	10
6	13
7	10
8	9
9	8
10	8
11	8
12	7
13	12
14	7
15	10
16	10
17	7
18	11
19	10
20	10
21	8
22	9
23	7
24	7
25	12
26	8
27	14
28	9
29	9
30	7
31	11
32	7
33	12
34	4
35	9
36	11
37	11
38	7
39	10
40	6
41	4
42	21
43	17
44	12
45	6
46	13
47	9
48	4
49	7
50	11
51	8
52	7
53	10
54	13
55	15
56	3
57	7
58	8
59	10
60	17
61	10
62	13
63	11
64	4
65	9
66	6
67	10
68	10
69	9
70	10
71	6
72	11
73	8
74	8
75	5
76	9
77	8
78	13
79	9
80	11
81	4
82	10
83	14
84	10
85	17
86	9
87	13
88	14
89	11
90	8
91	4
92	7
93	8
94	9
95	8
96	10
97	14
98	14
99	5
100	9
101	6
102	5
103	9
104	13
105	4
106	6
107	16
108	7
109	8
110	12
111	11
112	10
113	5
114	7
115	8
116	9
117	8
118	10
119	9
120	12
121	7
122	14
123	9
124	10
125	12
126	7
127	6
128	11
129	13
130	16
131	9
132	8
133	18
134	10
135	10
136	10
137	10
138	8
139	7
140	12
141	10
142	12
143	8
144	8
145	11
146	8
147	11
148	11
149	9
150	9
151	7
152	13
153	6
154	5
155	7
156	8
157	7
158	11
159	10
160	16
161	13
162	8
163	13
164	8
165	11
166	9
167	6
168	8
169	11
170	14
171	10
172	8
173	14
174	10
175	12
176	4
177	14
178	8
179	9
180	12
181	8
182	16
183	12
184	12
185	8
186	13
187	10
188	10
189	12
190	7
191	14
192	6
193	9
194	13
195	10
196	12
197	6
198	12
199	12
200	12
201	15
202	7
203	3
204	12
205	16
206	12
207	15
208	7
209	5
210	14
211	18
212	12
213	11
214	9
215	9
216	11
217	12
218	10
219	15
220	12
221	15
222	2
223	11
224	10
225	7
226	6
227	12
228	11
229	16
230	14
231	7
232	11
233	13
234	7
235	6
236	10
237	12
238	9
239	10
240	12
241	8
242	13
243	10
244	8
245	14
246	11
247	12
248	8
249	10
250	18
251	16
252	9
253	10
254	6
255	8
256	13
257	12
258	6
259	9
260	14
261	9
262	12
263	14
264	8
265	10
266	3
267	9
268	8
269	11
270	9
271	12
272	11
273	10
274	11
275	10
276	13
277	9
278	10
279	9
280	5
281	6
282	9
283	11
284	5
285	6
286	12
287	9
288	13
289	16
290	10
291	8
292	10
293	12
294	6
295	11
296	7
297	6
298	13
299	7
300	8
301	12
302	9
303	13
304	16
305	13
306	10
307	13
308	13
309	6
310	10
311	11
312	13
313	5
314	11
315	11
316	8
317	9
318	11
319	10
320	12
321	8
322	11
323	9
324	15
325	16
326	13
327	10
328	10
329	13
330	6
331	14
332	11
333	9
334	7
335	8
336	8
337	12
338	13
339	11
340	11
341	9
342	9
343	4
344	8
345	8
346	11
347	6
348	11
349	7
350	7
351	11
352	9
353	11
354	8
355	10
356	15
357	6
358	8
359	13
360	10
361	19
362	13
363	12
364	9
365	11
366	16
367	10
368	9
369	10
370	11
371	7
372	12
373	9
374	11
375	9
376	8
377	15
378	12
379	7
380	6
381	10
382	9
383	10
384	11
385	11
386	11
387	7
388	8
389	8
390	12
391	7
392	9
393	11
394	13
395	8
396	4
397	12
398	10
399	8
400	13
401	11
402	10
403	12
404	12
405	14
406	18
407	11
408	9
409	12
410	14
411	12
412	10
413	17
414	14
415	12
416	11
417	10
418	5
419	11
420	7
421	15
422	13
423	10
424	11
425	7
426	12
427	14
428	14
429	7
430	12
431	5
432	15
433	8
434	10
435	12
436	13
437	14
438	11
439	7
440	10
441	12
442	6
443	6
444	13
445	11
446	14
447	8
448	8
449	9
450	11
451	16
452	7
453	17
454	9
455	9
456	5
457	14
458	8
459	16
460	15
461	8
462	12
463	10
464	8
465	10
466	7
467	4
468	15
469	12
470	6
471	4
472	10
473	10
474	9
475	6
476	5
477	7
478	10
479	14
480	10
481	5
482	8
483	9
484	12
485	10
486	11
487	14
488	7
489	8
490	6
491	7
492	11
493	8
494	5
495	12
496	12
497	12
498	6
499	6
500	7
